# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	962
#@/user_id	97631081-f126-4c62-b0b0-660be01aa7ba
a 	啊	c=1 d=0.263158 t=962
lu xun 	魯迅	c=1 d=0.261846 t=962
luo tuo xiang zi 	駱駝祥子	c=2 d=0.532938 t=962
ma biao 	碼錶	c=14 d=4.68209 t=962
mei tiao 	每條	c=1 d=1 t=699
meng 	夢	c=1 d=0.826959 t=962
mian 	麪	c=1 d=0.891366 t=962
ming 	名	c=1 d=1 t=479
ming yue 	朙月	c=3 d=1.38846 t=962
mo hu 	模糊	c=2 d=1.69073 t=909
mo ren 	默認	c=1 d=0.847894 t=962
mo wei 	末尾	c=1 d=1 t=932
mo xing 	模型	c=2 d=0.844093 t=962
mo yan 	莫言	c=1 d=0.249075 t=962
mou ci 	某次	c=1 d=1 t=781
mou ge 	某個	c=1 d=1 t=685
mu lu 	目錄	c=12 d=3.59329 t=962
ne 	呢	c=1 d=1 t=561
nei 	內	c=1 d=1 t=866
nei rong 	內容	c=7 d=3.89241 t=962
ni ma 	你媽	c=0 d=0.1 t=914
ni shi 	你是	c=3 d=1.51878 t=962
nian yue 	唸曰	c=1 d=1 t=726
nian yue 	年月	c=1 d=1 t=725
nian yue 	年籥	c=1 d=1 t=727
nong cun 	農村	c=0 d=0.0305746 t=962
pei se 	配色	c=1 d=1 t=898
pei zhi 	配置	c=7 d=1.75401 t=962
pi lao 	疲勞	c=1 d=0.25284 t=962
pin ci 	頻次	c=1 d=0.447088 t=962
pin yin 	拼音	c=6 d=1.64273 t=962
ping bi 	屏蔽	c=1 d=1 t=554
ping tai 	平臺	c=1 d=0.38868 t=962
qi 	器	c=0 d=0.1 t=672
qi ta 	其他	c=3 d=0.882054 t=962
qi zhong 	其中	c=2 d=1.64156 t=962
qie 	且	c=1 d=0.496585 t=962
qie huan 	切換	c=4 d=1.81777 t=962
qu 	去	c=1 d=1 t=551
quan 	全	c=1 d=0.386741 t=962
quan jiao 	全角	c=1 d=1 t=886
quan ju 	全局	c=1 d=1 t=862
quan xian 	權限	c=1 d=1 t=578
quan zhong 	權重	c=1 d=0.299692 t=962
que shao 	缺少	c=1 d=1 t=933
ren shi 	認識	c=1 d=1 t=669
ri qi 	日期	c=1 d=1 t=833
rime 	Rime	c=1 d=1 t=908
ru 	乳	c=1 d=0.254107 t=962
ru 	如	c=5 d=1.91452 t=962
ru guo 	如果	c=1 d=1 t=864
ruan jian 	軟件	c=1 d=1 t=953
ruo 	若	c=1 d=1 t=857
sa 	撒	c=0 d=0.0891366 t=962
san fan si fu 	三番四復	c=0 d=0.199005 t=906
san fan si fu shi da fu shi da fu su du 	三番四復士大夫士大夫速度	c=1 d=1 t=907
sha 	傻	c=1 d=1 t=497
shang 	上	c=1 d=1 t=842
shang de 	上的	c=1 d=1 t=913
she zhi 	設置	c=3 d=1.35262 t=962
sheng cheng 	生成	c=1 d=0.97531 t=962
sheng qi 	升起	c=1 d=0.282239 t=962
sheng si 	生死	c=1 d=0.251579 t=962
sheng xiao 	生效	c=3 d=0.870139 t=962
shi 	使	c=1 d=0.318224 t=962
shi 	是	c=14 d=3.001 t=962
shi 	時	c=3 d=0.823432 t=962
shi bai 	失敗	c=1 d=1 t=595
shi da fu 	士大夫	c=0 d=0.298506 t=906
shi da fu shi da fu shuo fa fa sheng de 	士大夫士大夫說法發生地	c=1 d=1 t=906
shi ge 	詩歌	c=1 d=1 t=491
shi jian 	時間	c=1 d=1 t=834
shi san fan si fu shi da fu 	是三番四復士大夫	c=1 d=1 t=905
shi shi 	實施	c=1 d=0.235746 t=962
shi yong 	使用	c=10 d=3.00241 t=962
shou 	收	c=1 d=1 t=670
shu 	數	c=1 d=1 t=856
shu 	書	c=2 d=0.494429 t=962
shu 	鼠	c=1 d=0.477114 t=962
shu ju 	數據	c=3 d=0.742577 t=962
shu liang 	數量	c=1 d=1 t=870
shu ru 	輸入	c=8 d=1.64017 t=962
shu ru fa 	輸入法	c=6 d=2.06938 t=962
shua xin 	刷新	c=1 d=1 t=556
shuang pin 	雙拼	c=1 d=0.398519 t=962
shuo fa 	說法	c=0 d=0.1 t=905
su du 	速度	c=0 d=0.1 t=906
sun shi 	損失	c=1 d=0.532592 t=962
suo fa sheng 	所發生	c=0 d=0.0891366 t=962
suo fa sheng di fang sa 	所發生地方撒	c=1 d=0.895834 t=962
suo yi 	所以	c=0 d=0.0305746 t=962
suo yi nong cun 	所以農村	c=1 d=0.307279 t=962
ta men 	他們	c=1 d=0.486752 t=962
tai yang 	太陽	c=1 d=0.279431 t=962
tan chuang 	彈窗	c=3 d=2.90795 t=570
te ding 	特定	c=1 d=1 t=688
ti gong 	提供	c=1 d=0.479505 t=962
ti shi 	提示	c=1 d=1 t=832
tian jia 	添加	c=4 d=1.07911 t=962
tong 	同	c=1 d=1 t=537
tong bu 	同步	c=6 d=3.12893 t=962
tong guo 	通過	c=1 d=0.375311 t=962
tong shi 	同時	c=1 d=1 t=601
tu ku 	圖庫	c=1 d=0.697676 t=962
tui jian 	推薦	c=1 d=0.571209 t=962
wa 	蛙	c=1 d=0.250324 t=962
wang wang 	往往	c=2 d=1.96079 t=694
wang zhan 	網站	c=1 d=1 t=675
wang zhi 	網址	c=1 d=1 t=676
wei 	未	c=1 d=1 t=867
wei 	爲	c=5 d=1.79169 t=962
wei bi 	未必	c=1 d=1 t=729
wei cheng 	圍城	c=2 d=0.574445 t=962
wei e 	巍峨	c=1 d=0.358796 t=962
wei hu 	維護	c=1 d=1 t=504
wei kan 	未看	c=1 d=0.256661 t=962
wei le 	爲了	c=2 d=0.680645 t=962
wei li 	爲例	c=1 d=1 t=849
wei zhi 	位置	c=1 d=0.718924 t=962
wen ben 	文本	c=9 d=2.51074 t=962
wen dang 	文檔	c=32 d=11.0933 t=962
wen jian 	文件	c=22 d=7.3043 t=962
wen jian jia 	文件夾	c=5 d=2.51564 t=962
wen zhang 	文章	c=1 d=0.442639 t=962
wo 	我	c=1 d=0.869358 t=962
wo de 	我的	c=1 d=0.644036 t=962
wu bi 	五筆	c=1 d=1 t=546
wu xian 	無限	c=2 d=1.99501 t=558
xi guan 	習慣	c=4 d=1.55108 t=962
xi tong 	系統	c=2 d=1.65705 t=666
xi wen 	西文	c=2 d=1.40252 t=674
xia 	下	c=4 d=2.07915 t=962
xia mian 	下面	c=4 d=2.1963 t=962
xia zai 	下載	c=2 d=1.04934 t=962
xiang 	項	c=0 d=0.1 t=719
xiang jie 	詳解	c=1 d=1 t=826
xiang mu 	項目	c=2 d=0.982119 t=962
xiang tong 	相同	c=1 d=1 t=612
xiang xi 	詳細	c=1 d=0.591555 t=962
xiao 	小	c=1 d=0.242926 t=962
xiao guo 	效果	c=1 d=0.537944 t=962
xiao lang 	小狼	c=1 d=0.292293 t=962
xiao lang hao 	小狼毫	c=1 d=0.474734 t=962
xiao xi 	消息	c=7 d=6.66223 t=658
xie bu ya zheng 	邪不壓正	c=1 d=0.285076 t=962
xie zai 	寫在	c=1 d=1 t=515
xin 	心	c=1 d=0.65377 t=962
xin 	新	c=1 d=1 t=567
xin xi 	信息	c=4 d=1.68571 t=962
xiong di 	兄弟	c=1 d=0.25924 t=962
xiu gai 	修改	c=9 d=2.3638 t=962
xu yao 	需要	c=1 d=0.311923 t=962
xuan dan 	選單	c=3 d=1.20798 t=962
xuan xiang 	選項	c=6 d=2.92998 t=962
yan 	眼	c=1 d=0.647265 t=962
yan ge 	嚴格	c=1 d=1 t=580
yan jing 	眼睛	c=1 d=0.878096 t=962
yan wen zi 	顏文字	c=1 d=1 t=957
yang shi 	樣式	c=2 d=0.631284 t=962
yi 	一	c=1 d=1.0016 t=962
yi 	以	c=1 d=1 t=845
yi 	已	c=1 d=1 t=484
yi ding 	一定	c=1 d=1 t=715
yi dui duo 	一對多	c=2 d=0.778801 t=962
yi ge 	一個	c=1 d=1 t=735
yi shang 	以上	c=1 d=1 t=517
yi yang 	一樣	c=1 d=0.494109 t=962
yin 	音	c=1 d=1 t=910
yin dao 	引導	c=1 d=1 t=822
yin qing 	引擎	c=2 d=0.470011 t=962
yin ru 	引入	c=3 d=0.619185 t=962
yin wei 	因爲	c=1 d=1 t=589
yin yong 	引用	c=2 d=1.72839 t=962
ying gai 	應該	c=1 d=1 t=525
ying wen 	英文	c=1 d=1 t=831
yong 	用	c=1 d=1 t=733
yong hu 	用戶	c=18 d=5.68587 t=962
yong yu 	用於	c=1 d=1 t=951
you 	有	c=2 d=0.348192 t=962
you 	由	c=1 d=1 t=708
you dian 	優點	c=1 d=0.390628 t=962
yu 	於	c=2 d=1.86071 t=817
yu bei 	預備	c=1 d=1 t=633
yu fa 	語法	c=1 d=1 t=572
yu hua 	餘華	c=1 d=0.257947 t=962
yu ju 	語句	c=1 d=0.683861 t=962
yu she 	預設	c=1 d=0.506617 t=962
yu yan 	語言	c=1 d=0.516851 t=962
yue 	月	c=1 d=1 t=722
yue 	約	c=1 d=1 t=724
yue 	越	c=1 d=1 t=723
yue du 	閱讀	c=1 d=0.644036 t=962
yun xing shi 	運行時	c=1 d=0.436049 t=962
za ban 	咋辦	c=1 d=1 t=562
zai 	在	c=8 d=3.79475 t=962
ze 	則	c=2 d=1.18825 t=861
zhan shi 	展示	c=1 d=1 t=703
zhang yi mou 	張藝謀	c=1 d=0.273898 t=962
zhao chang 	照常	c=1 d=0.280832 t=962
zhao dao 	找到	c=3 d=1.89356 t=962
zhe 	這	c=2 d=0.918512 t=962
zhe ge 	這個	c=3 d=1.74312 t=962
zhe li 	這裏	c=1 d=0.771052 t=962
zhe shi 	這是	c=1 d=0.353455 t=962
zheng ge 	整個	c=1 d=1 t=731
zheng li 	整理	c=2 d=1.98511 t=764
zheng ze 	正則	c=2 d=1.90032 t=571
zheng zhuan 	正傳	c=1 d=0.264477 t=962
zhi dao 	指導	c=2 d=0.865857 t=962
zhi ding 	制定	c=3 d=1.78289 t=962
zhi ding 	指定	c=2 d=1.71977 t=962
zhi ding yi 	制定一	c=1 d=0.759572 t=962
zhi du 	只讀	c=1 d=1 t=587
zhi dui 	只對	c=1 d=1 t=687
zhong 	中	c=6 d=1.96869 t=962
zhu yin 	注音	c=1 d=1 t=547
zhuan 	轉	c=1 d=1 t=940
zhuan huan 	轉換	c=1 d=1 t=890
zhuan yi 	轉移	c=1 d=0.551563 t=962
zhuang tai 	狀態	c=1 d=0.458406 t=962
zi 	字	c=1 d=1 t=777
zi dian 	字典	c=6 d=0.964796 t=962
zi ding 	自定	c=1 d=0.778801 t=962
zi ding yi 	自定義	c=10 d=1.64036 t=962
zi dong 	自動	c=1 d=0.970446 t=962
zi fu 	字符	c=1 d=0.404542 t=962
zi ji 	自己	c=1 d=0.737123 t=962
zi ku 	字庫	c=1 d=0.305746 t=962
zi liao 	資料	c=1 d=0.839457 t=962
zi ti 	字體	c=1 d=1 t=900
zong he 	綜合	c=1 d=1 t=920
zu jian 	組件	c=1 d=1 t=635
zu zhi 	阻止	c=1 d=1 t=565
zuo 	做	c=1 d=1 t=662
zuo chu 	作出	c=1 d=0.729789 t=962
zuo fa 	做法	c=1 d=0.57695 t=962
zuo wei 	作爲	c=1 d=1 t=701
